N/A	 Fortnite: Battle	 Build	 Survive!	2018	 Documentary	 N/A)
4.7	 Stormageddon	2015	 Action	 Drama	 Sci-Fi	 Thriller
4.7	 Kill Switch	2017	 Action	 Sci-Fi	 Thriller	 4.7)
4.7	 The Rage: Carrie 2	1999	 Horror	 Sci-Fi	 Thriller	 4.7)
4.7	 Preservation	2014	 Horror	 Thriller	 4.7)	
4.6	 The Prince	2014	 Action	 Thriller	 4.6)	
4.6	 The Prince	2014	 Action	 Thriller	 4.6)	
4.6	 "MoNique: One Night Stand"	2005	 Comedy	 4.6)		
4.6	 Swelter	2014	 Action	 Crime	 Drama	 4.6)
4.6	 Chalk It Up	2016	 Comedy	 4.6)		
4.6	 Allan Quatermain and the Lost City of Gold	1986	 Action	 Adventure	 Comedy	 4.6)
4.5	 WarGames: The Dead Code	2008	 Drama	 Sci-Fi	 Thriller	 4.5)
4.5	 Hard Cash	2002	 Action	 Crime	 Thriller	 4.5)
4.4	 LOL	2012	 Comedy	 Drama	 Romance	 4.4)
4.4	 The Legend of King Solomon	2017	 Animation	 Family	 History	 4.4)
4.4	 Bait Shop	2008	 Comedy	 4.4)		
4.4	 Hollow Creek	2016	 Crime	 Horror	 Mystery	 4.4)
4.4	 In a Dark Place	2006	 Horror	 Thriller	 4.4)	
4.3	 Fat Albert	2004	 Comedy	 Family	 Fantasy	 4.3)
4.3	 Operator	2015	 Action	 Thriller	 4.3)	
4.1	 RoboCop 3	1993	 Action	 Crime	 Sci-Fi	 4.1)
4.1	 Ribbit	2014	 Animation	 Adventure	 Comedy	 4.1)
4.1	 Mercenary for Justice	2006	 Action	 Drama	 Thriller	 4.1)
4.1	 Atomic Twister	2002	 Action	 Drama	 Sci-Fi	 Thriller
4	 It Waits	2005	 Horror	 4.0)		
4	 Solar Attack	2006	 Action	 Sci-Fi	 Thriller	 4.0)
4	 A Race of Giants: Our Forbidden History	2015	 Documentary	 4.0)		
3.9	 Speed 2: Cruise Control	1997	 Action	 Adventure	 Crime	 3.9)
3.9	 Venomous	2001	 Action	 Drama	 Horror	 Sci-Fi
3.9	 The Reef 2: High Tide	2012	 Animation	 Family	 Musical	 3.9)
3.7	 Uncle P	2007	 Comedy	 3.7)		
3.7	 Legally Blondes	2009	 Comedy	 Family	 3.7)	
3.7	 Swarmed	2005	 Action	 Drama	 Horror	 Sci-Fi
3.6	 Earthstorm	2006	 Action	 Drama	 Sci-Fi	 Thriller
3.6	 The Wrong Babysitter	2017	 Thriller	 3.6)		
3.5	 Nature Unleashed: Volcano	2005	 Action	 Drama	 Thriller	 3.5)
3.3	 Spiders 3D	2013	 Action	 Adventure	 Comedy	 3.3)
3.2	 Post Impact	2004	 Action	 Adventure	 Sci-Fi	 3.2)
3.2	 Maximum Velocity	2003	 Action	 Adventure	 Sci-Fi	 3.2)
3	 Quantum Apocalypse	2010	 Action	 Adventure	 Drama	 Sci-Fi
2.9	 Deep Shock	2003	 Action	 Adventure	 Horror	 Sci-Fi
2.6	 Raging Sharks	2005	 Action	 Adventure	 Horror	 Sci-Fi
2	 Fred 3: Camp Fred	2012	 Comedy	 Family	 2.0)	
